Title,Location,Department,Type,Module,Qualification Needed,Description
Assistant Manager – Quality Assurance,Bangalore,Quality Assurance,Full-time,OSD,B. Pharma / M Pharma,"Lead IPQA batch release activities for oral solid dosage lines. Coordinate deviation investigations, change controls, and batch documentation review with production and QC."
Executive – QMS,Pune,Quality Assurance,Full-time,OSD,B.Pharm,"Maintain quality management system records, CAPA tracking, and internal audit schedules. Support regulatory inspections and site quality metrics reporting."
Deputy Manager – Validations,Vadodara,Quality Assurance,Full-time,"OSD, API",M.Pharm,"Plan and execute process, cleaning, and computer system validation protocols. Work with engineering and production on qualification lifecycle documentation."
Senior Executive – QC (Finished Products),Goa,Quality Control,Part-time,OSD,B.Pharm,Review analytical data for finished product release. Ensure compliance with pharmacopoeial methods and stability sample management.
Executive – Stability Studies,Chennai,Quality Control,Contract,OSD,M.Sc,"Manage stability chambers, sample pull schedules, and trending reports. Coordinate with AR&D on method transfers for stability-indicating tests."
Manager – QC Microbiology,Delhi NCR,Quality Control,Full-time,API,M.Pharm,"Oversee environmental monitoring, media fill support, and microbiological testing for API and formulation areas. Guide team on data integrity and GMP practices."
Production Operator – Granulation,Indore,Production OSD,Full-time,OSD,D.Pharm / B.Pharm,"Operate RMG, fluid bed, and related granulation equipment per batch records. Report deviations and support line clearance and equipment logs."
Senior Technical Associate – Compression,Baddi,Production OSD,Full-time,OSD,Diploma / ITI,"Run tablet compression machines, in-process checks, and metal detector challenges. Assist supervisors with changeover and preventive maintenance coordination."
Supervisor – Coating,Visakhapatnam,Production OSD,Part-time,OSD,B.Pharm,"Supervise coating pan / perforated pan operations, spray rate monitoring, and coating uniformity sampling. Train operators on GMP and safety procedures."
Officer – Injectable Filling,Ankleshwar,Production Injectables,Contract,Injectables,B.Pharm,"Support aseptic filling lines, environmental monitoring hooks, and line clearance. Experience with vial / ampoule filling preferred."
Management Associate – Lyophilization,Kolkata,Production Injectables,Full-time,Injectables,M.Pharm,"Coordinate lyophilization cycles, load patterns, and IPC for sterile injectable products. Interface with QA for batch record review and deviation handling."
Technical Associate – Blister Packing,Nagpur,Packing,Full-time,OSD,Diploma,"Operate blister packing and cartoning equipment. Perform line clearance, code verification, and packaging material reconciliation."
Senior Executive – HVAC & Utilities,Ahmedabad,Engineering,Full-time,"OSD, API",B.E / B.Tech,"Maintain HVAC, purified water, and compressed air systems for manufacturing blocks. Support qualification and calibration of utility equipment."
Research Scientist – Process R&D,Mumbai,Research and Development,Part-time,API,M.Pharm / PhD,"Develop and scale API processes from lab to pilot. Author development reports, impurity profiling strategies, and tech transfer packages."
Senior Research Scientist – OSD Formulations,Hyderabad,Formulation R&D,Contract,OSD,M.Pharm,Lead formulation development for immediate and modified release solid oral products. Design DOE studies and stability protocols for registration batches.
Manager – Injectable Formulations,Bangalore,Formulation R&D,Full-time,Injectables,M.Pharm,Guide parenteral formulation development including lyophilized and liquid presentations. Collaborate with AR&D on analytical method alignment.
Deputy Manager – Analytical Method Development,Pune,Analytical R&D,Full-time,"API, OSD",M.Sc / M.Pharm,Develop and validate HPLC/GC methods for APIs and finished products. Prepare method validation protocols and regulatory submission sections.
Manager – Regulatory Affairs (CMC),Vadodara,Regulatory Affairs,Full-time,"OSD, API",M.Pharm,Prepare Module 2/3 dossiers for US/EU/ROW submissions. Respond to agency queries and coordinate with QA and R&D on deficiency resolutions.
Executive – RA Documentation,Goa,Regulatory Affairs,Part-time,OSD,B.Pharm,"Compile batch manufacturing records, master data, and labelling artwork for variations and renewals. Maintain registration trackers."
Warehouse Executive,Chennai,Stores & Logistics,Contract,Others,Any,"Manage RM/PM warehousing, FIFO/FEFO, and dispatch coordination. SAP or similar ERP experience preferred for pharma inventory."
